"GEO_ID","NAME","T03004_001N","POPGROUP","POPGROUP_LABEL","T03004_002N","T03004_003N","T03004_004N","T03004_005N","T03004_006N","T03004_007N","T03004_008N","T03004_009N",
"Geography","Geographic Area Name","!!Total:","Race/Ethnic Group","Population Groups","!!Total:!!Family households:","!!Total:!!Family households:!!Married couple family","!!Total:!!Family households:!!Other family:","!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","!!Total:!!Nonfamily households:","!!Total:!!Nonfamily households:!!Householder living alone","!!Total:!!Nonfamily households:!!Householder not living alone",
"0100000US","United States","2610671","3764","East Asian alone","1727918","1348018","379900","128855","251045","882753","657177","225576",
"0100000US","United States","1493161","3765","Chinese, except Taiwanese alone","999657","785490","214167","75503","138664","493504","346740","146764",
"0100000US","United States","69679","3766","Hmong alone","58823","33607","25216","10848","14368","10856","6627","4229",
"0100000US","United States","325588","3767","Japanese alone","191133","145523","45610","13109","32501","134455","115163","19292",
"0100000US","United States","578144","3768","Korean alone","384584","307377","77207","23784","53423","193560","153453","40107",
"0100000US","United States","8580","3769","Mongolian alone","6340","4449","1891","560","1331","2240","1530","710",
"0100000US","United States","105570","3770","Taiwanese alone","69809","57697","12112","3810","8302","35761","25133","10628",
"0100000US","United States","49411","3772","Central Asian alone","39976","31124","8852","3526","5326","9435","6662","2773",
"0100000US","United States","33474","3773","Afghan alone","27901","21988","5913","2467","3446","5573","4047","1526",
"0100000US","United States","3447","3774","Kazakh alone","2122","1570","552","162","390","1325","890","435",
"0100000US","United States","2046","3775","Kyrgyz alone","1511","1075","436","120","316","535","326","209",
"0100000US","United States","7948","3778","Uzbek alone","6680","5179","1501","618","883","1268","907","361",
"0100000US","United States","1823768","3781","South Asian alone","1423908","1248744","175164","83574","91590","399860","279595","120265",
"0100000US","United States","1464637","3782","Asian Indian alone","1125468","998831","126637","58532","68105","339169","235576","103593",
"0100000US","United States","70131","3783","Bangladeshi alone","59652","50279","9373","5019","4354","10479","7485","2994",
"0100000US","United States","9885","3784","Bhutanese alone","9351","7418","1933","1106","827","534","359","175",
"0100000US","United States","57037","3786","Nepalese alone","46359","39170","7189","3901","3288","10678","6044","4634",
"0100000US","United States","167199","3787","Pakistani alone","139707","116084","23623","11819","11804","27492","21518","5974",
"0100000US","United States","11300","3788","Sikh alone","10328","8964","1364","786","578","972","746","226",
"0100000US","United States","25192","3790","Sri Lankan alone","17939","15204","2735","1182","1553","7253","5421","1832",
"0100000US","United States","1858513","3793","Southeast Asian alone","1422734","1013000","409734","134594","275140","435779","310893","124886",
"0100000US","United States","61224","3795","Burmese alone","52732","42025","10707","4620","6087","8492","5797","2695",
"0100000US","United States","80661","3796","Cambodian alone","64170","38294","25876","9221","16655","16491","11152","5339",
"0100000US","United States","950315","3797","Filipino alone","718100","516321","201779","59702","142077","232215","167741","64474",
"0100000US","United States","27988","3798","Indonesian alone","19114","14534","4580","1492","3088","8874","6291","2583",
"0100000US","United States","60524","3799","Laotian alone","47162","29059","18103","7001","11102","13362","9194","4168",
"0100000US","United States","8694","3800","Malaysian alone","5270","4209","1061","339","722","3424","2397","1027",
"0100000US","United States","5235","3801","Mien alone","4283","2304","1979","760","1219","952","583","369",
"0100000US","United States","2792","3802","Singaporean alone","1541","1248","293","74","219","1251","931","320",
"0100000US","United States","64997","3803","Thai alone","41176","27250","13926","4065","9861","23821","17240","6581",
"0100000US","United States","588019","3804","Vietnamese alone","463779","334555","129224","46604","82620","124240","87976","36264",
"0100000US","United States","108690","3807","Other Asian alone","64902","45319","19583","8826","10757","43788","31217","12571",
"0100000US","United States","106466","3819","Other Asian alone, not specified","63228","44161","19067","8620","10447","43238","30844","12394",
"0100000US","United States","3127066","3821","East Asian alone or in any combination","2047475","1575270","472205","158046","314159","1079591","784639","294952",
"0100000US","United States","1755367","3822","Chinese, except Taiwanese alone or in any combination","1164150","902918","261232","90097","171135","591217","410512","180705",
"0100000US","United States","71166","3823","Hmong alone or in any combination","59821","34140","25681","11042","14639","11345","6931","4414",
"0100000US","United States","545298","3824","Japanese alone or in any combination","326030","243578","82452","24961","57491","219268","170405","48863",
"0100000US","United States","675615","3825","Korean alone or in any combination","443118","348184","94934","29496","65438","232497","178585","53912",
"0100000US","United States","12536","3826","Mongolian alone or in any combination","8528","5946","2582","758","1824","4008","2830","1178",
"0100000US","United States","123542","3827","Taiwanese alone or in any combination","80118","65809","14309","4591","9718","43424","30093","13331",
"0100000US","United States","75713","3829","Central Asian alone or in any combination","60729","47147","13582","5341","8241","14984","10782","4202",
"0100000US","United States","49366","3830","Afghan alone or in any combination","40645","31972","8673","3592","5081","8721","6429","2292",
"0100000US","United States","4789","3831","Kazakh alone or in any combination","2947","2168","779","231","548","1842","1236","606",
"0100000US","United States","2409","3832","Kyrgyz alone or in any combination","1784","1272","512","144","368","625","382","243",
"0100000US","United States","2271","3833","Tajik alone or in any combination","1778","1344","434","182","252","493","325","168",
"0100000US","United States","14439","3835","Uzbek alone or in any combination","11873","9126","2747","1049","1698","2566","1871","695",
"0100000US","United States","1913917","3838","South Asian alone or in any combination","1478529","1287267","191262","88689","102573","435388","304688","130700",
"0100000US","United States","1552804","3839","Asian Indian alone or in any combination","1181969","1040004","141965","63564","78401","370835","258233","112602",
"0100000US","United States","74390","3840","Bangladeshi alone or in any combination","62968","53022","9946","5316","4630","11422","8152","3270",
"0100000US","United States","11454","3841","Bhutanese alone or in any combination","10828","8616","2212","1272","940","626","431","195",
"0100000US","United States","60088","3843","Nepalese alone or in any combination","48883","41177","7706","4180","3526","11205","6358","4847",
"0100000US","United States","182922","3844","Pakistani alone or in any combination","150055","124040","26015","12814","13201","32867","25263","7604",
"0100000US","United States","17090","3845","Sikh alone or in any combination","15566","13530","2036","1154","882","1524","1186","338",
"0100000US","United States","28993","3847","Sri Lankan alone or in any combination","20529","17434","3095","1320","1775","8464","6239","2225",
"0100000US","United States","3104","3848","Other South Asian alone or in any combination","1926","1471","455","179","276","1178","876","302",
"0100000US","United States","2258355","3850","Southeast Asian alone or in any combination","1680631","1188475","492156","160442","331714","577724","399593","178131",
"0100000US","United States","65623","3852","Burmese alone or in any combination","55748","44284","11464","4913","6551","9875","6680","3195",
"0100000US","United States","92594","3853","Cambodian alone or in any combination","72414","43316","29098","10163","18935","20180","13276","6904",
"0100000US","United States","1227278","3854","Filipino alone or in any combination","896395","636647","259748","77485","182263","330883","229541","101342",
"0100000US","United States","46799","3855","Indonesian alone or in any combination","30935","23310","7625","2479","5146","15864","10865","4999",
"0100000US","United States","68564","3856","Laotian alone or in any combination","52385","31932","20453","7725","12728","16179","10807","5372",
"0100000US","United States","14167","3857","Malaysian alone or in any combination","8392","6595","1797","559","1238","5775","3905","1870",
"0100000US","United States","5488","3858","Mien alone or in any combination","4476","2402","2074","792","1282","1012","621","391",
"0100000US","United States","4399","3859","Singaporean alone or in any combination","2341","1914","427","116","311","2058","1458","600",
"0100000US","United States","90018","3860","Thai alone or in any combination","57020","37630","19390","5711","13679","32998","22788","10210",
"0100000US","United States","656142","3861","Vietnamese alone or in any combination","508594","365081","143513","51526","91987","147548","102251","45297",
"0100000US","United States","243411","3864","Other Asian alone or in any combination","153493","105538","47955","19417","28538","89918","66959","22959",
"0100000US","United States","238341","3876","Other Asian alone or in any combination, not specified","150010","102998","47012","19052","27960","88331","65798","22533",
"0100000US","United States","106817","3878","Polynesian alone","78665","48502","30163","10337","19826","28152","20131","8021",
"0100000US","United States","60234","3883","Native Hawaiian alone","41202","24897","16305","5779","10526","19032","13896","5136",
"0100000US","United States","32278","3886","Samoan alone","25686","15631","10055","3334","6721","6592","4615","1977",
"0100000US","United States","10141","3888","Tongan alone","8744","6033","2711","894","1817","1397","909","488",
"0100000US","United States","48627","3894","Micronesian alone","38741","23490","15251","5930","9321","9886","6636","3250",
"0100000US","United States","22636","3896","Chamorro alone","16848","11086","5762","2023","3739","5788","3966","1822",
"0100000US","United States","2004","3897","Chuukese alone","1830","950","880","256","624","174","110","64",
"0100000US","United States","2933","3898","Guamanian alone","1954","1197","757","302","455","979","674","305",
"0100000US","United States","7920","3901","Marshallese alone","7159","4066","3093","1575","1518","761","461","300",
"0100000US","United States","2212","3904","Palauan alone","1606","890","716","228","488","606","415","191",
"0100000US","United States","8141","3908","Other Micronesian alone","7084","3955","3129","1185","1944","1057","664","393",
"0100000US","United States","11139","3911","Fijian alone","9138","6668","2470","904","1566","2001","1514","487",
"0100000US","United States","14473","3918","Other Native Hawaiian and Other Pacific Islander alone, not specified","9725","5467","4258","1495","2763","4748","3475","1273",
"0100000US","United States","250447","3920","Polynesian alone or in any combination","178388","112103","66285","21236","45049","72059","50184","21875",
"0100000US","United States","1921","3924","Maori alone or in any combination","1336","1006","330","128","202","585","369","216",
"0100000US","United States","184036","3925","Native Hawaiian alone or in any combination","127608","80362","47246","15137","32109","56428","39643","16785",
"0100000US","United States","55344","3928","Samoan alone or in any combination","41110","24698","16412","5274","11138","14234","9840","4394",
"0100000US","United States","2014","3929","Tahitian alone or in any combination","1389","944","445","110","335","625","415","210",
"0100000US","United States","14471","3930","Tongan alone or in any combination","11965","8095","3870","1221","2649","2506","1592","914",
"0100000US","United States","2807","3934","Other Polynesian alone or in any combination","1785","1118","667","182","485","1022","729","293",
"0100000US","United States","71186","3936","Micronesian alone or in any combination","53330","32819","20511","7530","12981","17856","11937","5919",
"0100000US","United States","40423","3938","Chamorro alone or in any combination","28316","18495","9821","3277","6544","12107","8237","3870",
"0100000US","United States","2259","3939","Chuukese alone or in any combination","2005","1048","957","281","676","254","154","100",
"0100000US","United States","6288","3940","Guamanian alone or in any combination","4167","2680","1487","538","949","2121","1421","700",
"0100000US","United States","8722","3943","Marshallese alone or in any combination","7757","4410","3347","1670","1677","965","587","378",
"0100000US","United States","3075","3946","Palauan alone or in any combination","2201","1254","947","292","655","874","565","309",
"0100000US","United States","8936","3950","Other Micronesian alone or in any combination","7637","4264","3373","1268","2105","1299","800","499",
"0100000US","United States","15719","3953","Fijian alone or in any combination","12531","9092","3439","1188","2251","3188","2351","837",
"0100000US","United States","81120","3960","Other Native Hawaiian and Other Pacific Islander alone or in any combination, not specified","53700","31271","22429","7157","15272","27420","20083","7337",
